# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 41K of event 'cycles:P'
# Event count (approx.): 26980007067
#
# Overhead  Command        Shared Object           Symbol                               
# ........  .............  ......................  .....................................
#
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073303
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073d58
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073bc6
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073b2b
     0.00%  my_executable  [kernel.vmlinux]        [k] newidle_balance
     0.00%  my_executable  libm.so.6               [.] 0x00000000000733b3
     0.00%  my_executable  [kernel.vmlinux]        [k] __count_memcg_events
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073596
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073d8a
     0.00%  my_executable  libm.so.6               [.] 0x00000000000731b7
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073245
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073d92
     0.00%  my_executable  libm.so.6               [.] 0x000000000007331e
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073d9f
     0.00%  my_executable  libpmix.so.2.9.5        [.] PMIx_Register_event_handler
     0.00%  my_executable  libm.so.6               [.] 0x000000000007345a
     0.00%  my_executable  libopen-pal.so.80.0.2   [.] opal_hash_table_get_value_ptr
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073b98
     0.00%  my_executable  libopen-pal.so.80.0.2   [.] 0x000000000003d204
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073c3d
     0.00%  my_executable  [kernel.vmlinux]        [k] irqtime_account_irq
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x0000000000022a33
     0.00%  my_executable  [kernel.vmlinux]        [k] perf_output_end
     0.00%  my_executable  libm.so.6               [.] 0x00000000000735a8
     0.00%  my_executable  [kernel.vmlinux]        [k] wake_up_bit
     0.00%  my_executable  libm.so.6               [.] 0x00000000000738fa
     0.00%  my_executable  [kernel.vmlinux]        [k] _copy_to_iter
     0.00%  my_executable  [kernel.vmlinux]        [k] get_next_freq.constprop.0
     0.00%  my_executable  [kernel.vmlinux]        [k] sugov_get_util
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073349
     0.00%  my_executable  [kernel.vmlinux]        [k] __nla_reserve
     0.00%  my_executable  libfabric.so.1.24.0     [.] 0x0000000000016748
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073292
     0.00%  my_executable  [kernel.vmlinux]        [k] tick_sched_do_timer
     0.00%  my_executable  libc.so.6               [.] 0x0000000000118160
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x00000000000148b4
     0.00%  my_executable  libmpi.so.40.40.2       [.] 0x00000000001e63bf
     0.00%  my_executable  libmpi.so.40.40.2       [.] 0x00000000001e64f0
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073d54
     0.00%  my_executable  libm.so.6               [.] 0x000000000007359a
     0.00%  my_executable  [kernel.vmlinux]        [k] do_syscall_64
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073730
     0.00%  my_executable  libc.so.6               [.] 0x000000000007fb44
     0.00%  my_executable  libmpi.so.40.40.2       [.] mca_coll_inter_comm_query
     0.00%  my_executable  [kernel.vmlinux]        [k] thp_get_unmapped_area
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x0000000000007996
     0.00%  my_executable  [kernel.vmlinux]        [k] memchr
     0.00%  my_executable  [kernel.vmlinux]        [k] kvfree_call_rcu
