# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 28K of event 'cycles:P'
# Event count (approx.): 14391950198
#
# Overhead  Command        Shared Object               Symbol                               
# ........  .............  ..........................  .....................................
#
     0.01%  my_executable  [kernel.vmlinux]            [k] lookup_fast
     0.01%  my_executable  [kernel.vmlinux]            [k] vsnprintf
     0.01%  my_executable  libpciaccess.so.0.11.1      [.] 0x000000000000261a
     0.01%  my_executable  [kernel.vmlinux]            [k] getname_flags.part.0
     0.01%  my_executable  ld-linux-x86-64.so.2        [.] 0x00000000000097df
     0.01%  my_executable  libmpi.so.40.40.2           [.] PMPI_Allreduce
     0.01%  my_executable  [kernel.vmlinux]            [k] futex_wake
     0.01%  my_executable  [kernel.vmlinux]            [k] mas_wr_node_store
     0.01%  my_executable  [kernel.vmlinux]            [k] mempool_free_slab
     0.01%  my_executable  libc.so.6                   [.] 0x0000000000099427
     0.01%  my_executable  [kernel.vmlinux]            [k] shared_cpu_map_show
     0.01%  my_executable  libc.so.6                   [.] cfree
     0.01%  my_executable  [kernel.vmlinux]            [k] __fdget_pos
     0.01%  my_executable  [kernel.vmlinux]            [k] do_dentry_open
     0.01%  my_executable  ld-linux-x86-64.so.2        [.] 0x0000000000009826
     0.01%  my_executable  [kernel.vmlinux]            [k] sched_clock_cpu
     0.01%  my_executable  [kernel.vmlinux]            [k] _find_next_bit
     0.01%  my_executable  [kernel.vmlinux]            [k] try_to_migrate_one
     0.01%  my_executable  [kernel.vmlinux]            [k] walk_component
     0.01%  my_executable  [kernel.vmlinux]            [k] page_vma_mapped_walk
     0.01%  my_executable  [kernel.vmlinux]            [k] try_charge_memcg
     0.01%  my_executable  libhwloc.so.15.7.0          [.] 0x0000000000037537
     0.01%  my_executable  [kernel.vmlinux]            [k] __rcu_read_unlock
     0.01%  my_executable  [kernel.vmlinux]            [k] free_pcppages_bulk
     0.01%  my_executable  [kernel.vmlinux]            [k] rep_movs_alternative
     0.01%  my_executable  [kernel.vmlinux]            [k] vma_interval_tree_remove
     0.01%  my_executable  libgomp.so.1.0.0            [.] GOMP_loop_end_nowait
     0.01%  my_executable  [kernel.vmlinux]            [k] enqueue_task_fair
     0.01%  my_executable  [kernel.vmlinux]            [k] build_open_flags
     0.01%  my_executable  [kernel.vmlinux]            [k] move_to_new_folio
     0.01%  my_executable  libopen-pal.so.80.0.2       [.] 0x000000000002ca2e
     0.01%  my_executable  [kernel.vmlinux]            [k] __x86_indirect_thunk_array
     0.01%  my_executable  [kernel.vmlinux]            [k] handle_mm_fault
     0.01%  my_executable  libevent_core-2.1.so.7.0.1  [.] 0x0000000000015530
     0.00%  my_executable  libc.so.6                   [.] 0x0000000000159fdd
     0.00%  my_executable  libc.so.6                   [.] 0x0000000000099456
     0.00%  my_executable  libhwloc.so.15.7.0          [.] hwloc_linux_set_tid_cpubind
     0.00%  my_executable  [kernel.vmlinux]            [k] access_error
     0.00%  my_executable  [kernel.vmlinux]            [k] kernfs_refresh_inode
     0.00%  my_executable  [kernel.vmlinux]            [k] kmalloc_trace
     0.00%  my_executable  [kernel.vmlinux]            [k] __kmalloc_node
     0.00%  my_executable  ld-linux-x86-64.so.2        [.] 0x000000000000a42c
     0.00%  my_executable  [kernel.vmlinux]            [k] calc_global_load_tick
     0.00%  my_executable  [kernel.vmlinux]            [k] raw_spin_rq_lock_nested
     0.00%  my_executable  libm.so.6                   [.] 0x000000000007360d
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073c6a
     0.00%  my_executable  libm.so.6                   [.] 0x000000000007391b
     0.00%  my_executable  libm.so.6                   [.] 0x00000000000732b1
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073482
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073124
     0.00%  my_executable  [kernel.vmlinux]            [k] may_open
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073be4
     0.00%  my_executable  [kernel.vmlinux]            [k] native_write_msr
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073211
     0.00%  my_executable  [kernel.vmlinux]            [k] task_tick_mm_cid
     0.00%  my_executable  [kernel.vmlinux]            [k] __hrtimer_run_queues
     0.00%  my_executable  [kernel.vmlinux]            [k] blk_cgroup_congested
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073d95
     0.00%  my_executable  libc.so.6                   [.] 0x000000000009a761
     0.00%  my_executable  libm.so.6                   [.] 0x00000000000732cc
     0.00%  my_executable  [kernel.vmlinux]            [k] set_ptes.isra.0
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073d9c
     0.00%  my_executable  [kernel.vmlinux]            [k] irqtime_account_irq
     0.00%  my_executable  libm.so.6                   [.] 0x00000000000730aa
     0.00%  my_executable  [kernel.vmlinux]            [k] __d_lookup_rcu
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073cd4
     0.00%  my_executable  [kernel.vmlinux]            [k] __pte_offset_map
     0.00%  my_executable  libm.so.6                   [.] 0x00000000000730a5
     0.00%  my_executable  [kernel.vmlinux]            [k] mas_wr_store_entry.isra.0
     0.00%  my_executable  [kernel.vmlinux]            [k] load_balance
     0.00%  my_executable  [kernel.vmlinux]            [k] read_tsc
     0.00%  my_executable  [kernel.vmlinux]            [k] perf_event_task_tick
     0.00%  my_executable  [kernel.vmlinux]            [k] __accumulate_pelt_segments
     0.00%  my_executable  [kernel.vmlinux]            [k] mt_find
     0.00%  my_executable  [kernel.vmlinux]            [k] __memcg_slab_post_alloc_hook
     0.00%  my_executable  libm.so.6                   [.] 0x000000000007359a
     0.00%  my_executable  [kernel.vmlinux]            [k] mas_wr_spanning_store.isra.0
     0.00%  my_executable  [kernel.vmlinux]            [k] sched_core_idle_cpu
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073c3d
     0.00%  my_executable  libm.so.6                   [.] 0x000000000007331a
