# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2M of event 'cycles:P'
# Event count (approx.): 1478128950019
#
# Overhead  Command        Shared Object                   Symbol                                        
# ........  .............  ..............................  ..............................................
#
     0.00%  my_executable  [kernel.vmlinux]                [k] migration_entry_wait_on_locked
     0.00%  my_executable  [kernel.vmlinux]                [k] clockevents_program_event
     0.00%  my_executable  [kernel.vmlinux]                [k] avg_vruntime
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073db0
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073433
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073384
     0.00%  my_executable  [kernel.vmlinux]                [k] __mod_node_page_state
     0.00%  my_executable  [kernel.vmlinux]                [k] timekeeping_advance
     0.00%  my_executable  [kernel.vmlinux]                [k] get_next_freq.constprop.0
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073444
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073205
     0.00%  my_executable  [kernel.vmlinux]                [k] rb_next
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073181
     0.00%  my_executable  [kernel.vmlinux]                [k] rebalance_domains
     0.00%  my_executable  [kernel.vmlinux]                [k] lru_gen_del_folio
     0.00%  my_executable  libm.so.6                       [.] 0x00000000000731f7
     0.00%  my_executable  libm.so.6                       [.] 0x00000000000734a1
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073482
     0.00%  my_executable  [kernel.vmlinux]                [k] irqentry_exit_to_user_mode
     0.00%  my_executable  libm.so.6                       [.] 0x00000000000731bb
     0.00%  my_executable  [kernel.vmlinux]                [k] asm_sysvec_apic_timer_interrupt
     0.00%  my_executable  [kernel.vmlinux]                [k] __irq_exit_rcu
     0.00%  my_executable  [kernel.vmlinux]                [k] record_times
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073437
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073245
     0.00%  my_executable  [kernel.vmlinux]                [k] sched_core_idle_cpu
     0.00%  my_executable  [kernel.vmlinux]                [k] __rcu_read_lock
     0.00%  my_executable  [kernel.vmlinux]                [k] _raw_spin_trylock
     0.00%  my_executable  [kernel.vmlinux]                [k] entry_SYSCALL_64
     0.00%  my_executable  [kernel.vmlinux]                [k] hrtimer_forward
     0.00%  my_executable  [kernel.vmlinux]                [k] task_tick_mm_cid
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073303
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073124
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073349
     0.00%  my_executable  libm.so.6                       [.] 0x00000000000731f2
     0.00%  my_executable  [kernel.vmlinux]                [k] acct_account_cputime
     0.00%  my_executable  [kernel.vmlinux]                [k] cpu_util_cfs_boost
     0.00%  my_executable  [kernel.vmlinux]                [k] cpuacct_charge
     0.00%  my_executable  [kernel.vmlinux]                [k] sysvec_apic_timer_interrupt
     0.00%  my_executable  [kernel.vmlinux]                [k] lapic_next_event
     0.00%  my_executable  libm.so.6                       [.] 0x00000000000731aa
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073262
     0.00%  my_executable  [kernel.vmlinux]                [k] pci_conf1_read
     0.00%  my_executable  [kernel.vmlinux]                [k] do_user_addr_fault
     0.00%  my_executable  [kernel.vmlinux]                [k] node_is_toptier
     0.00%  my_executable  [kernel.vmlinux]                [k] cgroup_rstat_updated
     0.00%  my_executable  [kernel.vmlinux]                [k] psi_group_change
     0.00%  my_executable  [kernel.vmlinux]                [k] native_apic_msr_write
     0.00%  my_executable  [kernel.vmlinux]                [k] __get_user_8
     0.00%  my_executable  [kernel.vmlinux]                [k] irqentry_enter
     0.00%  my_executable  [kernel.vmlinux]                [k] vm_normal_page_pmd
     0.00%  my_executable  [kernel.vmlinux]                [k] native_flush_tlb_one_user
     0.00%  my_executable  libm.so.6                       [.] 0x00000000000731e2
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073ced
     0.00%  my_executable  [kernel.vmlinux]                [k] update_rt_rq_load_avg
     0.00%  my_executable  libm.so.6                       [.] 0x00000000000732f1
     0.00%  my_executable  [kernel.vmlinux]                [k] __x86_indirect_thunk_array
     0.00%  my_executable  [kernel.vmlinux]                [k] run_posix_cpu_timers
     0.00%  my_executable  [kernel.vmlinux]                [k] down_read_trylock
     0.00%  my_executable  [kernel.vmlinux]                [k] _raw_spin_unlock
     0.00%  my_executable  [kernel.vmlinux]                [k] folio_copy
     0.00%  my_executable  [kernel.vmlinux]                [k] sched_clock
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073971
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073135
     0.00%  my_executable  [kernel.vmlinux]                [k] syscall_return_via_sysret
     0.00%  my_executable  [kernel.vmlinux]                [k] __schedule
     0.00%  my_executable  libm.so.6                       [.] 0x00000000000732ff
     0.00%  my_executable  [kernel.vmlinux]                [k] task_numa_fault
     0.00%  my_executable  libz.so.1.3.1                   [.] gzgets
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073153
     0.00%  my_executable  [kernel.vmlinux]                [k] next_uptodate_folio
     0.00%  my_executable  [kernel.vmlinux]                [k] llist_reverse_order
     0.00%  my_executable  [kernel.vmlinux]                [k] _find_next_bit
     0.00%  my_executable  libm.so.6                       [.] 0x000000000007319f
     0.00%  my_executable  [kernel.vmlinux]                [k] irq_work_tick
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073abd
     0.00%  my_executable  libm.so.6                       [.] 0x00000000000731da
     0.00%  my_executable  [kernel.vmlinux]                [k] cpuacct_account_field
     0.00%  my_executable  libm.so.6                       [.] 0x00000000000733bb
     0.00%  my_executable  [kernel.vmlinux]                [k] account_process_tick
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073928
     0.00%  my_executable  [kernel.vmlinux]                [k] __rcu_read_unlock
     0.00%  my_executable  [kernel.vmlinux]                [k] __do_softirq
     0.00%  my_executable  [kernel.vmlinux]                [k] notifier_call_chain
     0.00%  my_executable  [kernel.vmlinux]                [k] free_pcppages_bulk
     0.00%  my_executable  libm.so.6                       [.] 0x00000000000730c0
     0.00%  my_executable  [kernel.vmlinux]                [k] timerqueue_add
     0.00%  my_executable  libm.so.6                       [.] 0x00000000000731ae
     0.00%  my_executable  [kernel.vmlinux]                [k] sugov_get_util
     0.00%  my_executable  libm.so.6                       [.] 0x00000000000730dd
     0.00%  my_executable  [kernel.vmlinux]                [k] perf_event_task_tick
     0.00%  my_executable  [kernel.vmlinux]                [k] timerqueue_del
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073924
     0.00%  my_executable  [kernel.vmlinux]                [k] get_mem_cgroup_from_mm
     0.00%  my_executable  [kernel.vmlinux]                [k] _raw_spin_unlock_irqrestore
     0.00%  my_executable  [kernel.vmlinux]                [k] tick_sched_handle
     0.00%  my_executable  [kernel.vmlinux]                [k] __d_lookup
     0.00%  my_executable  [kernel.vmlinux]                [k] kernfs_dop_revalidate
     0.00%  my_executable  [kernel.vmlinux]                [k] change_huge_pmd
     0.00%  my_executable  libm.so.6                       [.] 0x0000000000073b2b
     0.00%  my_executable  [kernel.vmlinux]                [k] get_vma_policy
