# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 22K of event 'cycles:P'
# Event count (approx.): 14907655679
#
# Overhead  Command        Shared Object           Symbol                                                                                     
# ........  .............  ......................  ...........................................................................................
#
     0.01%  my_executable  [kernel.vmlinux]        [k] __hrtimer_run_queues
     0.01%  my_executable  [kernel.vmlinux]        [k] kmem_cache_alloc_bulk
     0.01%  my_executable  [kernel.vmlinux]        [k] __update_load_avg_cfs_rq
     0.01%  my_executable  [kernel.vmlinux]        [k] string
     0.01%  my_executable  [kernel.vmlinux]        [k] path_openat
     0.01%  my_executable  libm.so.6               [.] 0x000000000007329f
     0.01%  my_executable  [kernel.vmlinux]        [k] down_read
     0.01%  my_executable  [kernel.vmlinux]        [k] expand_files
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073ca6
     0.01%  my_executable  libm.so.6               [.] 0x000000000007339e
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073c5d
     0.01%  my_executable  [kernel.vmlinux]        [k] path_init
     0.01%  my_executable  [kernel.vmlinux]        [k] __free_one_page
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073370
     0.01%  my_executable  [kernel.vmlinux]        [k] down_read_trylock
     0.01%  my_executable  ld-linux-x86-64.so.2    [.] 0x000000000000986b
     0.01%  my_executable  [kernel.vmlinux]        [k] clear_huge_page
     0.01%  my_executable  libm.so.6               [.] 0x00000000000732fd
     0.01%  my_executable  libm.so.6               [.] 0x00000000000732f9
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073c50
     0.01%  my_executable  [kernel.vmlinux]        [k] do_anonymous_page
     0.01%  my_executable  [kernel.vmlinux]        [k] get_mem_cgroup_from_mm
     0.01%  my_executable  libpciaccess.so.0.11.1  [.] 0x00000000000025d2
     0.01%  my_executable  [kernel.vmlinux]        [k] down_write
     0.01%  my_executable  [kernel.vmlinux]        [k] free_unref_page_commit
     0.01%  my_executable  [kernel.vmlinux]        [k] __snmp6_fill_stats64.constprop.0
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073aff
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073602
     0.01%  my_executable  libpciaccess.so.0.11.1  [.] 0x000000000000293a
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073135
     0.01%  my_executable  [kernel.vmlinux]        [k] __mod_node_page_state
     0.01%  my_executable  [kernel.vmlinux]        [k] vfs_read
     0.01%  my_executable  libm.so.6               [.] 0x000000000007347c
     0.01%  my_executable  [kernel.vmlinux]        [k] mod_objcg_state
     0.01%  my_executable  libm.so.6               [.] 0x00000000000735b7
     0.01%  my_executable  [kernel.vmlinux]        [k] __x86_indirect_thunk_array
     0.01%  my_executable  [kernel.vmlinux]        [k] ktime_get
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073607
     0.01%  my_executable  libpciaccess.so.0.11.1  [.] 0x0000000000002765
     0.01%  my_executable  [kernel.vmlinux]        [k] __rcu_read_lock
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073c63
     0.01%  my_executable  libc.so.6               [.] 0x000000000004d189
     0.01%  my_executable  libm.so.6               [.] 0x00000000000735af
     0.01%  my_executable  [kernel.vmlinux]        [k] inode_permission
     0.01%  my_executable  libm.so.6               [.] 0x00000000000735a2
     0.01%  my_executable  [kernel.vmlinux]        [k] __mem_cgroup_charge
     0.01%  my_executable  [kernel.vmlinux]        [k] __get_user_8
     0.01%  my_executable  [kernel.vmlinux]        [k] get_pfnblock_flags_mask
     0.01%  my_executable  [kernel.vmlinux]        [k] copy_mc_enhanced_fast_string
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073337
     0.01%  my_executable  [kernel.vmlinux]        [k] filemap_map_pages
     0.01%  my_executable  [kernel.vmlinux]        [k] mutex_unlock
     0.01%  my_executable  [kernel.vmlinux]        [k] _raw_spin_lock_irqsave
     0.01%  my_executable  [kernel.vmlinux]        [k] unmap_page_range
     0.01%  my_executable  [kernel.vmlinux]        [k] kernfs_iop_permission
     0.01%  my_executable  libc.so.6               [.] 0x0000000000097fcf
     0.01%  my_executable  libc.so.6               [.] 0x000000000008782d
     0.01%  my_executable  [kernel.vmlinux]        [k] pgtable_trans_huge_withdraw
     0.01%  my_executable  [kernel.vmlinux]        [k] __queue_work.part.0
     0.01%  my_executable  [kernel.vmlinux]        [k] __virt_addr_valid
     0.01%  my_executable  [kernel.vmlinux]        [k] futex_wake
     0.01%  my_executable  libmpi.so.40.40.2       [.] PMPI_Barrier
     0.01%  my_executable  [kernel.vmlinux]        [k] task_mm_cid_work
     0.01%  my_executable  [kernel.vmlinux]        [k] vm_normal_folio
     0.01%  my_executable  [kernel.vmlinux]        [k] lru_gen_del_folio
     0.01%  my_executable  [kernel.vmlinux]        [k] rmap_walk_anon
     0.01%  my_executable  [sunrpc]                [k] 0x0000000000006690
     0.01%  my_executable  [kernel.vmlinux]        [k] page_vma_mapped_walk
     0.01%  my_executable  [kernel.vmlinux]        [k] change_protection
     0.01%  my_executable  [kernel.vmlinux]        [k] set_ptes.constprop.0
     0.01%  my_executable  libopen-pal.so.80.0.2   [.] 0x00000000000215f0
     0.01%  my_executable  [kernel.vmlinux]        [k] free_unref_page_prepare
     0.01%  my_executable  [kernel.vmlinux]        [k] _copy_to_iter
     0.01%  my_executable  [kernel.vmlinux]        [k] obj_cgroup_uncharge_pages
     0.01%  my_executable  libc.so.6               [.] sched_setaffinity
     0.01%  my_executable  ld-linux-x86-64.so.2    [.] 0x000000000000e570
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073c35
     0.01%  my_executable  [kernel.vmlinux]        [k] __mod_memcg_lruvec_state
     0.01%  my_executable  ld-linux-x86-64.so.2    [.] 0x000000000000981f
     0.01%  my_executable  libc.so.6               [.] 0x0000000000097d5b
     0.01%  my_executable  libc.so.6               [.] 0x0000000000097feb
     0.00%  my_executable  libopen-pal.so.80.0.2   [.] opal_proc_local_get
     0.00%  my_executable  libc.so.6               [.] cfree
     0.00%  my_executable  libc.so.6               [.] 0x0000000000159fe1
     0.00%  my_executable  libc.so.6               [.] 0x0000000000097eee
     0.00%  my_executable  libc.so.6               [.] 0x0000000000097d30
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x000000000000a424
     0.00%  my_executable  [kernel.vmlinux]        [k] ___slab_alloc
     0.00%  my_executable  [kernel.vmlinux]        [k] seq_printf
     0.00%  my_executable  [kernel.vmlinux]        [k] vma_migratable
     0.00%  my_executable  [kernel.vmlinux]        [k] timekeeping_advance
     0.00%  my_executable  [kernel.vmlinux]        [k] update_min_vruntime
     0.00%  my_executable  [kernel.vmlinux]        [k] clockevents_program_event
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073584
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073425
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073d6d
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073374
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073303
     0.00%  my_executable  [kernel.vmlinux]        [k] mas_topiary_replace
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073730
     0.00%  my_executable  [kernel.vmlinux]        [k] vm_area_alloc
     0.00%  my_executable  libm.so.6               [.] 0x000000000007391b
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073c2f
