# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 335K of event 'cycles:P'
# Event count (approx.): 194374310278
#
# Overhead  Command        Shared Object           Symbol                                    
# ........  .............  ......................  ..........................................
#
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073370
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073568
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073f85
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073bff
     0.02%  my_executable  [kernel.vmlinux]        [k] copy_page_from_iter
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073334
     0.02%  my_executable  libm.so.6               [.] 0x00000000000732e7
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073fb2
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073c5d
     0.02%  my_executable  libm.so.6               [.] 0x000000000007331a
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073fad
     0.02%  my_executable  [kernel.vmlinux]        [k] update_cfs_group
     0.02%  my_executable  [kernel.vmlinux]        [k] get_page_from_freelist
     0.02%  my_executable  libm.so.6               [.] 0x00000000000732fd
     0.02%  my_executable  [kernel.vmlinux]        [k] update_curr
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073c99
     0.02%  my_executable  [kernel.vmlinux]        [k] rwsem_spin_on_owner
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073dca
     0.02%  my_executable  libm.so.6               [.] 0x000000000007376d
     0.02%  my_executable  [kernel.vmlinux]        [k] prep_compound_page
     0.02%  my_executable  [kernel.vmlinux]        [k] get_dump_page
     0.02%  my_executable  libm.so.6               [.] 0x00000000000735a5
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073cdf
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073730
     0.02%  my_executable  libm.so.6               [.] 0x000000000007373c
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073757
     0.02%  my_executable  [kernel.vmlinux]        [k] inode_needs_update_time
     0.02%  my_executable  libm.so.6               [.] 0x000000000007330b
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073b78
     0.01%  my_executable  [kernel.vmlinux]        [k] down_read_killable
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073f97
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073d6d
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073772
     0.01%  my_executable  [kernel.vmlinux]        [k] copy_page
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073592
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073745
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073d92
     0.01%  my_executable  [kernel.vmlinux]        [k] psi_account_irqtime
     0.01%  my_executable  [kernel.vmlinux]        [k] osq_unlock
     0.01%  my_executable  libm.so.6               [.] 0x000000000007374e
     0.01%  my_executable  [kernel.vmlinux]        [k] native_queued_spin_lock_slowpath
     0.01%  my_executable  [kernel.vmlinux]        [k] kill_fasync
     0.01%  my_executable  [kernel.vmlinux]        [k] native_irq_return_iret
     0.01%  my_executable  [kernel.vmlinux]        [k] __update_load_avg_se
     0.01%  my_executable  libm.so.6               [.] 0x000000000007347c
     0.01%  my_executable  libm.so.6               [.] 0x00000000000732b1
     0.01%  my_executable  libm.so.6               [.] 0x000000000007310f
     0.01%  my_executable  libm.so.6               [.] 0x00000000000733a2
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073cba
     0.01%  my_executable  [kernel.vmlinux]        [k] _raw_spin_lock
     0.01%  my_executable  [kernel.vmlinux]        [k] __update_load_avg_cfs_rq
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073564
     0.01%  my_executable  libm.so.6               [.] 0x000000000007359a
     0.01%  my_executable  libm.so.6               [.] 0x000000000007332a
     0.01%  my_executable  libm.so.6               [.] 0x00000000000730b3
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073ced
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073c7f
     0.01%  my_executable  libm.so.6               [.] 0x000000000007331e
     0.01%  my_executable  [kernel.vmlinux]        [k] __irqentry_text_end
     0.01%  my_executable  libm.so.6               [.] 0x00000000000733ad
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073404
     0.01%  my_executable  [kernel.vmlinux]        [k] ktime_get_coarse_real_ts64
     0.01%  my_executable  libm.so.6               [.] 0x000000000007313d
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073d7a
     0.01%  my_executable  [kernel.vmlinux]        [k] clear_huge_page
     0.01%  my_executable  libm.so.6               [.] 0x00000000000738f4
     0.01%  my_executable  libm.so.6               [.] 0x00000000000735da
     0.01%  my_executable  [kernel.vmlinux]        [k] pmd_pfn
     0.01%  my_executable  [kernel.vmlinux]        [k] find_vma
     0.01%  my_executable  libm.so.6               [.] 0x00000000000732cc
     0.01%  my_executable  libc.so.6               [.] 0x0000000000157d4a
     0.01%  my_executable  libm.so.6               [.] 0x00000000000738fa
     0.01%  my_executable  [kernel.vmlinux]        [k] _raw_spin_unlock_irqrestore
     0.01%  my_executable  [kernel.vmlinux]        [k] task_tick_fair
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073273
     0.01%  my_executable  libc.so.6               [.] pthread_spin_lock
     0.01%  my_executable  [kernel.vmlinux]        [k] try_grab_page
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073363
     0.01%  my_executable  [kernel.vmlinux]        [k] timestamp_truncate
     0.01%  my_executable  [kernel.vmlinux]        [k] reweight_entity
     0.01%  my_executable  libm.so.6               [.] 0x00000000000735f2
     0.01%  my_executable  [kernel.vmlinux]        [k] __wake_up_sync_key
     0.01%  my_executable  [kernel.vmlinux]        [k] memset_orig
     0.01%  my_executable  libm.so.6               [.] 0x00000000000733ef
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073124
     0.01%  my_executable  [kernel.vmlinux]        [k] scheduler_tick
     0.01%  my_executable  [kernel.vmlinux]        [k] native_write_msr
     0.01%  my_executable  [kernel.vmlinux]        [k] __rcu_read_unlock
     0.01%  my_executable  libstencil.so           [.] idx_core_const
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073cd4
     0.01%  my_executable  [kernel.vmlinux]        [k] rcu_sched_clock_irq
     0.01%  my_executable  [kernel.vmlinux]        [k] check_vma_flags
     0.01%  my_executable  [kernel.vmlinux]        [k] error_entry
     0.01%  my_executable  [kernel.vmlinux]        [k] __hrtimer_run_queues
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073463
     0.01%  my_executable  libm.so.6               [.] 0x00000000000733d7
     0.01%  my_executable  [kernel.vmlinux]        [k] entry_SYSCALL_64
     0.01%  my_executable  libucs.so.0.0.0         [.] bfd_alloc
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073245
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073425
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073433
     0.01%  my_executable  [kernel.vmlinux]        [k] gup_vma_lookup
     0.01%  my_executable  [kernel.vmlinux]        [k] __x86_indirect_thunk_array
     0.01%  my_executable  libucs.so.0.0.0         [.] bfd_elf64_slurp_symbol_table
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073444
     0.01%  my_executable  [kernel.vmlinux]        [k] rep_movs_alternative
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073153
     0.00%  my_executable  [kernel.vmlinux]        [k] mas_walk
     0.00%  my_executable  [kernel.vmlinux]        [k] update_curr_se
     0.00%  my_executable  [kernel.vmlinux]        [k] file_update_time
     0.00%  my_executable  libm.so.6               [.] 0x00000000000731aa
     0.00%  my_executable  [kernel.vmlinux]        [k] up_read
     0.00%  my_executable  [kernel.vmlinux]        [k] hrtimer_interrupt
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073416
     0.00%  my_executable  [kernel.vmlinux]        [k] __count_memcg_events
     0.00%  my_executable  [kernel.vmlinux]        [k] sync_regs
     0.00%  my_executable  [kernel.vmlinux]        [k] iov_iter_bvec
     0.00%  my_executable  [kernel.vmlinux]        [k] __accumulate_pelt_segments
     0.00%  my_executable  libm.so.6               [.] 0x000000000007311e
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073d50
     0.00%  my_executable  [kernel.vmlinux]        [k] rwsem_down_write_slowpath
     0.00%  my_executable  libm.so.6               [.] 0x000000000007316f
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073205
