# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 27K of event 'cycles:P'
# Event count (approx.): 15366302616
#
# Overhead  Command        Shared Object           Symbol                                  
# ........  .............  ......................  ........................................
#
     0.01%  my_executable  [kernel.vmlinux]        [k] inode_permission
     0.01%  my_executable  libm.so.6               [.] 0x000000000007316f
     0.01%  my_executable  [kernel.vmlinux]        [k] native_apic_msr_eoi
     0.01%  my_executable  libm.so.6               [.] 0x00000000000735c4
     0.01%  my_executable  libpciaccess.so.0.11.1  [.] 0x00000000000025a3
     0.01%  my_executable  [kernel.vmlinux]        [k] __rcu_read_lock
     0.01%  my_executable  [kernel.vmlinux]        [k] __mod_node_page_state
     0.01%  my_executable  libc.so.6               [.] getenv
     0.01%  my_executable  libc.so.6               [.] 0x00000000001572f0
     0.01%  my_executable  [kernel.vmlinux]        [k] kvfree_call_rcu
     0.01%  my_executable  [kernel.vmlinux]        [k] up_read
     0.01%  my_executable  libc.so.6               [.] 0x000000000015a044
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073c58
     0.01%  my_executable  libc.so.6               [.] 0x0000000000159403
     0.01%  my_executable  [kernel.vmlinux]        [k] llist_reverse_order
     0.01%  my_executable  [kernel.vmlinux]        [k] _raw_spin_lock_irqsave
     0.01%  my_executable  [kernel.vmlinux]        [k] memcpy_orig
     0.01%  my_executable  [kernel.vmlinux]        [k] path_openat
     0.01%  my_executable  [kernel.vmlinux]        [k] __x86_indirect_thunk_array
     0.01%  my_executable  [kernel.vmlinux]        [k] show_cpuinfo
     0.01%  my_executable  [kernel.vmlinux]        [k] amd_clear_divider
     0.01%  my_executable  [kernel.vmlinux]        [k] kernfs_put_active
     0.01%  my_executable  [kernel.vmlinux]        [k] walk_component
     0.01%  my_executable  libm.so.6               [.] 0x000000000007334d
     0.01%  my_executable  libc.so.6               [.] 0x000000000009af28
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073313
     0.01%  my_executable  [kernel.vmlinux]        [k] rw_verify_area
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073be4
     0.01%  my_executable  ld-linux-x86-64.so.2    [.] 0x000000000000e570
     0.01%  my_executable  [kernel.vmlinux]        [k] __note_gp_changes
     0.01%  my_executable  [kernel.vmlinux]        [k] kernfs_iop_get_link
     0.01%  my_executable  [kernel.vmlinux]        [k] get_pfnblock_flags_mask
     0.01%  my_executable  [kernel.vmlinux]        [k] change_protection
     0.01%  my_executable  [kernel.vmlinux]        [k] release_pages
     0.01%  my_executable  [kernel.vmlinux]        [k] free_swap_cache
     0.01%  my_executable  [kernel.vmlinux]        [k] vfs_open
     0.01%  my_executable  [kernel.vmlinux]        [k] string
     0.01%  my_executable  ld-linux-x86-64.so.2    [.] 0x000000000000a420
     0.01%  my_executable  [kernel.vmlinux]        [k] strcmp
     0.00%  my_executable  libxml2.so.2.12.6       [.] 0x0000000000100a80
     0.00%  my_executable  [kernel.vmlinux]        [k] seq_printf
     0.00%  my_executable  libc.so.6               [.] 0x0000000000097ec6
     0.00%  my_executable  libopen-pal.so.80.0.2   [.] opal_hash_table_remove_all
     0.00%  my_executable  [kernel.vmlinux]        [k] lockref_get_not_dead
     0.00%  my_executable  [kernel.vmlinux]        [k] get_vma_policy
     0.00%  my_executable  [kernel.vmlinux]        [k] alloc_fd
     0.00%  my_executable  libc.so.6               [.] 0x0000000000099480
     0.00%  my_executable  [kernel.vmlinux]        [k] update_blocked_averages
     0.00%  my_executable  [kernel.vmlinux]        [k] perf_event_task_tick
     0.00%  my_executable  [kernel.vmlinux]        [k] cap_safe_nice
     0.00%  my_executable  [kernel.vmlinux]        [k] lru_gen_del_folio
     0.00%  my_executable  [kernel.vmlinux]        [k] __radix_tree_lookup
     0.00%  my_executable  [kernel.vmlinux]        [k] intel_cpufreq_update_pstate
     0.00%  my_executable  [kernel.vmlinux]        [k] futex_q_lock
     0.00%  my_executable  libgomp.so.1.0.0        [.] gomp_new_team
     0.00%  my_executable  [kernel.vmlinux]        [k] __cgroup_account_cputime_field
