# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 13K of event 'cycles:P'
# Event count (approx.): 6809543337
#
# Overhead  Command        Shared Object           Symbol                                      
# ........  .............  ......................  ............................................
#
     0.02%  my_executable  libstencil.so           [.] idx_core_const@plt
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073c58
     0.02%  my_executable  libm.so.6               [.] 0x00000000000735b3
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073944
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073cdf
     0.02%  my_executable  [kernel.vmlinux]        [k] kfree
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073340
     0.02%  my_executable  libm.so.6               [.] 0x000000000007339e
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073256
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073fa8
     0.02%  my_executable  [kernel.vmlinux]        [k] perf_event_mmap_output
     0.02%  my_executable  [kernel.vmlinux]        [k] __mod_node_page_state
     0.02%  my_executable  libm.so.6               [.] 0x00000000000735a2
     0.02%  my_executable  libm.so.6               [.] 0x000000000007391b
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073245
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073c3d
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073f74
     0.02%  my_executable  [kernel.vmlinux]        [k] __snmp6_fill_stats64.constprop.0
     0.02%  my_executable  libc.so.6               [.] 0x0000000000055183
     0.02%  my_executable  [kernel.vmlinux]        [k] __wake_up_common
     0.02%  my_executable  ld-linux-x86-64.so.2    [.] 0x000000000000a40b
     0.02%  my_executable  [kernel.vmlinux]        [k] kmem_cache_free
     0.02%  my_executable  libm.so.6               [.] 0x000000000007394b
     0.02%  my_executable  [kernel.vmlinux]        [k] down_read_killable
     0.02%  my_executable  [kernel.vmlinux]        [k] native_sched_clock
     0.02%  my_executable  ld-linux-x86-64.so.2    [.] 0x000000000000e5ec
     0.02%  my_executable  [kernel.vmlinux]        [k] exc_page_fault
     0.02%  my_executable  [kernel.vmlinux]        [k] ktime_get_update_offsets_now
     0.02%  my_executable  libm.so.6               [.] 0x00000000000738f4
     0.02%  my_executable  [kernel.vmlinux]        [k] __rb_insert_augmented
     0.02%  my_executable  [kernel.vmlinux]        [k] folio_remove_rmap_ptes
     0.02%  my_executable  libm.so.6               [.] 0x000000000007336c
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073bd6
     0.02%  my_executable  libc.so.6               [.] 0x000000000009a058
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073745
     0.02%  my_executable  [kernel.vmlinux]        [k] do_user_addr_fault
     0.02%  my_executable  [kernel.vmlinux]        [k] vma_prepare
     0.02%  my_executable  libpciaccess.so.0.11.1  [.] 0x000000000000293a
     0.02%  my_executable  libm.so.6               [.] 0x000000000007348f
     0.02%  my_executable  libm.so.6               [.] 0x000000000007313d
     0.02%  my_executable  [kernel.vmlinux]        [k] smp_call_function_many_cond
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073135
     0.02%  my_executable  [kernel.vmlinux]        [k] vma_merge
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073c5d
     0.02%  my_executable  [kernel.vmlinux]        [k] find_get_pmu_context
     0.02%  my_executable  libm.so.6               [.] 0x00000000000733bb
     0.02%  my_executable  [kernel.vmlinux]        [k] kmalloc_node_trace
     0.02%  my_executable  [kernel.vmlinux]        [k] psi_account_irqtime
     0.02%  my_executable  [kernel.vmlinux]        [k] link_path_walk.part.0.constprop.0
     0.02%  my_executable  [kernel.vmlinux]        [k] kernfs_unlink_open_file
     0.02%  my_executable  [kernel.vmlinux]        [k] __do_softirq
     0.02%  my_executable  libm.so.6               [.] 0x00000000000732c8
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073da7
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073370
     0.02%  my_executable  [kernel.vmlinux]        [k] cap_vm_enough_memory
     0.02%  my_executable  [kernel.vmlinux]        [k] walk_component
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073f85
