# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 60K of event 'cycles:P'
# Event count (approx.): 27923495162
#
# Overhead  Command        Shared Object           Symbol                                 
# ........  .............  ......................  .......................................
#
     0.00%  my_executable  [kernel.vmlinux]        [k] idle_cpu
     0.00%  my_executable  [kernel.vmlinux]        [k] __x2apic_send_IPI_mask
     0.00%  my_executable  [kernel.vmlinux]        [k] __cgroup_account_cputime_field
     0.00%  my_executable  [kernel.vmlinux]        [k] task_numa_fault
     0.00%  my_executable  libstencil.so           [.] GOMP_loop_end_nowait@plt
     0.00%  my_executable  [kernel.vmlinux]        [k] free_pages_and_swap_cache
     0.00%  my_executable  [kernel.vmlinux]        [k] dequeue_entity
     0.00%  my_executable  [kernel.vmlinux]        [k] free_tail_page_prepare
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073384
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073cba
     0.00%  my_executable  libgomp.so.1.0.0        [.] gomp_team_barrier_wait_final
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073245
     0.00%  my_executable  [kernel.vmlinux]        [k] asm_sysvec_call_function_single
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073482
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x0000000000009860
     0.00%  my_executable  libopen-pal.so.80.0.2   [.] opal_common_ucx_support_level
     0.00%  my_executable  libm.so.6               [.] 0x00000000000733bb
     0.00%  my_executable  [sunrpc]                [k] 0x00000000000240b6
     0.00%  my_executable  [kernel.vmlinux]        [k] do_syscall_64
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x0000000000009823
     0.00%  my_executable  [kernel.vmlinux]        [k] mutex_lock
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x000000000000e59d
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x000000000000a3e6
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073cd4
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x000000000000e6de
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073c4c
     0.00%  my_executable  [kernel.vmlinux]        [k] finish_task_switch.isra.0
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x000000000000e604
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x0000000000009815
     0.00%  my_executable  libhwloc.so.15.7.0      [.] 0x000000000000aa9c
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073fad
     0.00%  my_executable  [kernel.vmlinux]        [k] tlb_gather_mmu
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x000000000001ecc3
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x0000000000009ae4
     0.00%  my_executable  libgomp.so.1.0.0        [.] gomp_barrier_wait
     0.00%  my_executable  libc.so.6               [.] 0x000000000015a06b
     0.00%  my_executable  [kernel.vmlinux]        [k] perf_iterate_ctx
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073c2f
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x0000000000001865
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x00000000000095d8
     0.00%  my_executable  [kernel.vmlinux]        [k] vm_mmap_pgoff
     0.00%  my_executable  libc.so.6               [.] qsort_r
     0.00%  my_executable  [kernel.vmlinux]        [k] kmem_cache_alloc_lru
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x0000000000009a73
     0.00%  my_executable  libfabric.so.1.24.0     [.] 0x000000000000d578
